Frequency (Hz),SEL (dB re 1 ÂµPa)
10.0,200.5
12.5,201.25
16.0,198.25
20.0,198.5
25.0,202.0
31.5,202.0
40.0,203.0
50.0,210.25
63.0,208.25
80.0,211.75
100.0,212.25
125.0,212.5
160.0,212.5
200.0,207.25
250.0,204.5
315.0,196.75
400.0,204.25
500.0,199.25
630.0,198.0
800.0,192.5
1000.0,199.5
1250.0,192.0
1600.0,191.0
2000.0,187.0
2500.0,187.0
3150.0,183.5
4000.0,182.75
5000.0,182.5
6300.0,179.5
8000.0,176.25
10000.0,171.5
12500.0,170.5
16000.0,164.25
20000.0,162.75
25000.0,161.5
31500.0,163.5
40000.0,163.75
50000.0,164.75
63000.0,170.25
80000.0,177.0
